actor_loss,collection_time,critic_loss,episode,episode_length,episode_reward,episodes_this_round,fps,frame,gpu_memory_allocated,gpu_memory_reserved,particles_transferred,physics_reward,policy_ratio,step,success_rate,total_time,update_time
-0.27437055110931396,0.3975694179534912,0.000305063317749088,10.0,1.0,0.0,10.0,9.994171680467028,10,0.01805877685546875,0.0234375,0.0,0.0,1.0151554822921753,10.0,0.0,1.0005853176116943,0.6028165817260742
-0.04619705453515053,0.024504423141479492,7.298921597111984e-05,20.0,1.0,0.0,10.0,147.02720892895954,20,0.01805877685546875,0.0234375,0.0,0.0,1.04044269323349,20.0,0.0,1.068601131439209,0.0348973274230957
-0.08531653210520744,0.025385141372680664,3.121402909407739e-05,30.0,1.0,0.0,10.0,143.55844431438183,30,0.01805877685546875,0.0234375,0.0,0.0,1.0013957917690277,30.0,0.0,1.138260841369629,0.0362701416015625
0.0,0.02507758140563965,9.319021485509893e-06,40.0,1.0,0.0,10.0,143.1107441287562,40,0.01805877685546875,0.0234375,0.0,0.0,1.0027092576026917,40.0,0.0,1.2081372737884521,0.035733938217163086
0.0058000315446406605,0.026100635528564453,2.7087093990019184e-06,50.0,1.0,0.0,10.0,143.92297213367328,50,0.01805877685546875,0.0234375,0.0,0.0,1.0022378444671631,50.0,0.0,1.2776198387145996,0.03464007377624512
0.0,0.02532339096069336,1.5694245782071904e-06,60.0,1.0,0.0,10.0,134.76757972527915,60,0.01805877685546875,0.0234375,0.0,0.0,1.0008157253265382,60.0,0.0,1.3518218994140625,0.040384769439697266
0.0,0.0254058837890625,3.5975616108352426e-07,70.0,1.0,0.0,10.0,141.85185435704574,70,0.01805877685546875,0.0234375,0.0,0.0,1.0006025791168214,70.0,0.0,1.422318458557129,0.03644442558288574
-0.005797468544915319,0.02487778663635254,2.0336161288270205e-07,80.0,1.0,0.0,10.0,147.8752494376635,80,0.01805877685546875,0.0234375,0.0,0.0,1.0017949342727661,80.0,0.0,1.4899437427520752,0.03436589241027832
0.0,0.0245358943939209,4.777500091646125e-08,90.0,1.0,0.0,10.0,146.19240649278677,90,0.01805877685546875,0.0234375,0.0,0.0,1.0005410194396973,90.0,0.0,1.5583469867706299,0.03529548645019531
0.0,0.025234699249267578,2.3866905562996976e-08,100.0,1.0,0.0,10.0,143.25249068448142,100,0.01805877685546875,0.0234375,0.0,0.0,0.999895840883255,100.0,0.0,1.62815523147583,0.035634756088256836
0.0,0.024462461471557617,8.498166522742655e-09,110.0,1.0,0.0,10.0,143.10097884347033,110,0.01805877685546875,0.0234375,0.0,0.0,1.0005152463912963,110.0,0.0,1.6980364322662354,0.03666877746582031
0.0,0.02646183967590332,2.3594276483962507e-09,120.0,1.0,0.0,10.0,141.64251534011663,120,0.01805877685546875,0.0234375,0.0,0.0,1.0000409960746766,120.0,0.0,1.7686374187469482,0.03582906723022461
