actor_loss,buffer_size,clip_fraction,critic_loss,entropy,episode,episode_length,episode_reward,episode_success,epoch_time,fps,frame,kl_divergence,step,total_time,training_iterations
-0.008501230739057064,200.0,0.5699999928474426,12805.88671875,3.675154685974121,2.0,200.0,-291.34140179050934,0.0,0.16136503219604492,3098.564746001117,500,0.03349991515278816,366.6666666666667,0.1616201400756836,2.0
-0.04095787554979324,200.0,0.2540000081062317,22951.59375,3.679779291152954,5.0,200.0,-445.88723253706723,0.0,0.1314840316772461,3802.7431439534057,1000,-0.001764458604156971,866.6666666666666,0.2938811779022217,20.0
-0.021320665255188942,200.0,0.37400001287460327,28491.916015625,3.680386543273926,8.0,200.0,-480.0666734059471,0.0,0.0895991325378418,5580.411169592822,1500,0.016692684963345528,1366.6666666666667,0.38410496711730957,3.0
-0.03485704958438873,200.0,0.17399999499320984,12164.8896484375,3.6812517642974854,11.0,200.0,-270.6042815432007,0.0,0.1282801628112793,3897.718782408939,2000,-0.0036501979921013117,1866.6666666666667,0.5128641128540039,20.0
-0.039316948503255844,200.0,0.20999999344348907,7880.24853515625,3.687877893447876,14.0,200.0,-247.41769853385813,0.0,0.12505316734313965,3998.299368364057,2500,-0.0020978881511837244,2366.6666666666665,0.6384472846984863,20.0
-0.03483593463897705,200.0,0.20000000298023224,8705.9541015625,3.69586181640625,17.0,200.0,-320.17812894456415,0.0,0.12622284889221191,3961.2479387703834,3000,-0.004059353843331337,2866.6666666666665,0.8527100086212158,20.0
-0.03777897357940674,200.0,0.1899999976158142,1465.002197265625,3.698833703994751,20.0,200.0,-114.7266067602577,0.0,0.12799692153930664,3906.3439494242425,3500,0.003586016595363617,3366.6666666666665,0.9812471866607666,20.0
-0.03286253660917282,200.0,0.28200000524520874,1303.4228515625,3.694922685623169,23.0,200.0,-87.99318040277754,0.0,0.12496018409729004,4001.2745148543945,4000,0.006172385066747665,3866.6666666666665,1.1066570281982422,20.0
-0.037798404693603516,200.0,0.2939999997615814,3868.6298828125,3.6927649974823,26.0,200.0,-182.19156844082528,0.0,0.12462115287780762,4012.1599620431643,4500,0.002947771456092596,4366.666666666667,1.2317571640014648,20.0
-0.035667069256305695,200.0,0.25600001215934753,1691.8994140625,3.696413993835449,29.0,200.0,-126.97924180966726,0.0,0.12940430641174316,3863.859046615361,5000,0.013481232337653637,4866.666666666667,1.3616621494293213,20.0
-0.032535165548324585,200.0,0.1940000057220459,1248.6417236328125,3.7033603191375732,32.0,200.0,-79.30131633028424,0.0,0.12370896339416504,4041.7443189373894,5500,-0.0025031035766005516,5366.666666666667,1.5665600299835205,20.0
-0.03561699762940407,200.0,0.12600000202655792,2026.9345703125,3.7070038318634033,35.0,200.0,-97.2469471817361,0.0,0.12468194961547852,4010.203574310551,6000,-9.929656698659528e-06,5866.666666666667,1.6916968822479248,20.0
-0.03086763620376587,200.0,0.1679999977350235,2706.31640625,3.7127835750579834,38.0,200.0,-60.26577979843374,0.0,0.12364387512207031,4043.8719629772463,6500,-0.0025759378913789988,6366.666666666667,1.8158321380615234,20.0
-0.02528812177479267,200.0,0.5460000038146973,758.7363891601562,3.7137107849121094,41.0,200.0,-42.03528129225062,0.0,0.08657383918762207,5775.416738957416,7000,0.016513746231794357,6866.666666666667,1.9028420448303223,4.0
-0.03294596076011658,200.0,0.5220000147819519,690.0894775390625,3.713855028152466,44.0,200.0,-38.47407619327062,0.0,0.10371088981628418,4821.094495339027,7500,0.017054712399840355,7366.666666666667,2.007115125656128,12.0
-0.03646674007177353,200.0,0.28200000524520874,487.76922607421875,3.721179246902466,47.0,200.0,28.271055884060793,0.0,0.11503481864929199,4346.510090343654,8000,0.015855707228183746,7866.666666666667,2.203227996826172,16.0
-0.03637859225273132,200.0,0.23999999463558197,174.18011474609375,3.7189409732818604,50.0,200.0,16.08245460065917,0.0,0.13212800025939941,3784.209244205455,8500,0.004138308111578226,8366.666666666666,2.3362250328063965,20.0
-0.03476591408252716,200.0,0.2460000067949295,307.7387390136719,3.721813440322876,53.0,200.0,69.22839611420416,0.0,0.1304769515991211,3832.0944340898295,9000,0.005407489836215973,8866.666666666666,2.4671590328216553,20.0
-0.03284325450658798,200.0,0.33399999141693115,170.87110900878906,3.7210726737976074,56.0,200.0,50.16469805055608,0.0,0.13464021682739258,3713.6006743140874,9500,0.002478604204952717,9366.666666666666,2.6022889614105225,20.0
-0.030779385939240456,200.0,0.12600000202655792,1820.9971923828125,3.7324979305267334,59.0,200.0,128.5144575725613,0.0,0.13470816612243652,3711.7274653234385,10000,0.0030738040804862976,9866.666666666666,2.7374730110168457,20.0
-0.028689134865999222,200.0,0.0820000022649765,647.9219360351562,3.7294204235076904,62.0,200.0,91.5551317715031,0.0,0.13683509826660156,3654.033258527202,10500,0.004477911628782749,10366.666666666666,2.9758141040802,20.0
-0.03383346647024155,200.0,0.19200000166893005,395.3340759277344,3.7238495349884033,65.0,200.0,98.76379609909938,0.0,0.13124990463256836,3809.526577560118,11000,0.011136706918478012,10866.666666666666,3.107569932937622,20.0
-0.0401681512594223,200.0,0.24799999594688416,2379.720703125,3.7192375659942627,68.0,200.0,217.91705865579257,0.0,0.13206100463867188,3786.129004303995,11500,0.008690239861607552,11366.666666666666,3.2401790618896484,20.0
-0.019979411736130714,200.0,0.4580000042915344,632.0695190429688,3.7178187370300293,71.0,200.0,110.31390777630999,0.0,0.08760499954223633,5707.4368199607015,12000,0.016143132001161575,11866.666666666666,3.328295946121216,4.0
